Stationid,Stationname En,Exitid,Exitname Zh Tw,Exitposition Positionlon,Exitposition Positionlat,layer,stationid,exitid,groovy code,,,"exit """
BL06,Fuzhong,3,府中站出口3,121.45897,25.009162,,TaiwanStation_FuZhongFuzhong,TaiwanStation_FuZhongFuzhong_3,"exit ""TaiwanStation_FuZhongFuzhong_3"" with { short_name ""3"" coords { lat 121.45897; lon 25.009162 } layer 0 }",,,
BL07,Banqiao,1,板橋站出口1,121.461754,25.013416,,TaiwanStation_BanQiaoBanqiao,TaiwanStation_BanQiaoBanqiao_1,"exit ""TaiwanStation_BanQiaoBanqiao_1"" with { short_name ""1"" coords { lat 121.461754; lon 25.013416 } layer 0 }",,,
BL07,Banqiao,2,板橋站出口2,121.462483,25.013192,,TaiwanStation_BanQiaoBanqiao,TaiwanStation_BanQiaoBanqiao_2,"exit ""TaiwanStation_BanQiaoBanqiao_2"" with { short_name ""2"" coords { lat 121.462483; lon 25.013192 } layer 0 }",,,
BL07,Banqiao,3,板橋站出口3,121.462589,25.014554,,TaiwanStation_BanQiaoBanqiao,TaiwanStation_BanQiaoBanqiao_3,"exit ""TaiwanStation_BanQiaoBanqiao_3"" with { short_name ""3"" coords { lat 121.462589; lon 25.014554 } layer 0 }",,,
BL08,Xinpu,1,新埔站出口1,121.467457,25.023063,,TaiwanStation_XinBuXinpu,TaiwanStation_XinBuXinpu_1,"exit ""TaiwanStation_XinBuXinpu_1"" with { short_name ""1"" coords { lat 121.467457; lon 25.023063 } layer 0 }",,,
BL08,Xinpu,2,新埔站出口2,121.468176,25.0222,,TaiwanStation_XinBuXinpu,TaiwanStation_XinBuXinpu_2,"exit ""TaiwanStation_XinBuXinpu_2"" with { short_name ""2"" coords { lat 121.468176; lon 25.0222 } layer 0 }",,,
BL08,Xinpu,3,新埔站出口3,121.468574,25.022844,,TaiwanStation_XinBuXinpu,TaiwanStation_XinBuXinpu_3,"exit ""TaiwanStation_XinBuXinpu_3"" with { short_name ""3"" coords { lat 121.468574; lon 25.022844 } layer 0 }",,,
BL08,Xinpu,4,新埔站出口4,121.468728,25.023638,,TaiwanStation_XinBuXinpu,TaiwanStation_XinBuXinpu_4,"exit ""TaiwanStation_XinBuXinpu_4"" with { short_name ""4"" coords { lat 121.468728; lon 25.023638 } layer 0 }",,,
BL08,Xinpu,5,新埔站出口5,121.468138,25.024163,,TaiwanStation_XinBuXinpu,TaiwanStation_XinBuXinpu_5,"exit ""TaiwanStation_XinBuXinpu_5"" with { short_name ""5"" coords { lat 121.468138; lon 25.024163 } layer 0 }",,,
BL09,Jiangzicui,1,江子翠站出口1,121.471914,25.030298,,TaiwanStation_JiangZiCuiJiangzicui,TaiwanStation_JiangZiCuiJiangzicui_1,"exit ""TaiwanStation_JiangZiCuiJiangzicui_1"" with { short_name ""1"" coords { lat 121.471914; lon 25.030298 } layer 0 }",,,
BL09,Jiangzicui,2,江子翠站出口2,121.471903,25.029782,,TaiwanStation_JiangZiCuiJiangzicui,TaiwanStation_JiangZiCuiJiangzicui_2,"exit ""TaiwanStation_JiangZiCuiJiangzicui_2"" with { short_name ""2"" coords { lat 121.471903; lon 25.029782 } layer 0 }",,,
