stationid,kind,id,layer
TaiwanStation_WenDeWende,facility,TaiwanStation_WenDeWende_TicketGate_Concourse_1,1
TaiwanStation_WenDeWende,facility,TaiwanStation_WenDeWende_TicketGate_Concourse_2,1
TaiwanStation_NeiHuNeihu,facility,TaiwanStation_NeiHuNeihu_TicketGate_Concourse_1,1
TaiwanStation_NeiHuNeihu,facility,TaiwanStation_NeiHuNeihu_TicketGate_Concourse_2,1
TaiwanStation_DaHuGongYuanDahuPark,facility,TaiwanStation_DaHuGongYuanDahuPark_TicketGate_Concourse_1,1
TaiwanStation_DaHuGongYuanDahuPark,facility,TaiwanStation_DaHuGongYuanDahuPark_TicketGate_Concourse_2,1
TaiwanStation_HuZhouHuzhou,facility,TaiwanStation_HuZhouHuzhou_TicketGate_Concourse_1,1
TaiwanStation_HuZhouHuzhou,facility,TaiwanStation_HuZhouHuzhou_TicketGate_Concourse_2,1
TaiwanStation_DongHuDonghu,facility,TaiwanStation_DongHuDonghu_TicketGate_Concourse_1,1
TaiwanStation_DongHuDonghu,facility,TaiwanStation_DongHuDonghu_TicketGate_Concourse_2,1
TaiwanStation_NanGangRuanTiYuanQuNangangSoftwarePark,facility,TaiwanStation_NanGangRuanTiYuanQuNangangSoftwarePark_TicketGate_Concourse_1,1
TaiwanStation_NanGangRuanTiYuanQuNangangSoftwarePark,facility,TaiwanStation_NanGangRuanTiYuanQuNangangSoftwarePark_TicketGate_Concourse_2,1
TaiwanStation_KeJiDaLouTechnologyBuilding,facility,TaiwanStation_KeJiDaLouTechnologyBuilding_TicketGate_Concourse_1,1
TaiwanStation_LiuZhangLiLiuzhangli,facility,TaiwanStation_LiuZhangLiLiuzhangli_TicketGate_Concourse_1,1
TaiwanStation_LinGuangLinguang,facility,TaiwanStation_LinGuangLinguang_TicketGate_Concourse_1,0
TaiwanStation_XinHaiXinhai,facility,TaiwanStation_XinHaiXinhai_TicketGate_Concourse_1,0
TaiwanStation_WanFangYiYuanWanfangHospital,facility,TaiwanStation_WanFangYiYuanWanfangHospital_TicketGate_Concourse_1,1
TaiwanStation_WanFangSheQuWanfangCommunity,facility,TaiwanStation_WanFangSheQuWanfangCommunity_TicketGate_Concourse_1,0
TaiwanStation_MuZhaMuzha,facility,TaiwanStation_MuZhaMuzha_TicketGate_Concourse_1,0
TaiwanStation_DongWuYuanTaipeiZoo,facility,TaiwanStation_DongWuYuanTaipeiZoo_TicketGate_Concourse_1,1
TaiwanStation_XinDianXindian,facility,TaiwanStation_XinDianXindian_TicketGate_Concourse_1,0
TaiwanStation_XinDianQuGongSuoXindianDistrictOffice,facility,TaiwanStation_XinDianQuGongSuoXindianDistrictOffice_TicketGate_Concourse_1,0
TaiwanStation_XinDianQuGongSuoXindianDistrictOffice,facility,TaiwanStation_XinDianQuGongSuoXindianDistrictOffice_TicketGate_Concourse_2,0
TaiwanStation_QiZhangQizhang,facility,TaiwanStation_QiZhangQizhang_TicketGate_Concourse_1,0
TaiwanStation_QiZhangQizhang,facility,TaiwanStation_QiZhangQizhang_TicketGate_Concourse_2,-1
TaiwanStation_JingMeiJingmei,facility,TaiwanStation_JingMeiJingmei_TicketGate_Concourse_1,-1
TaiwanStation_JingMeiJingmei,facility,TaiwanStation_JingMeiJingmei_TicketGate_Concourse_2,-1
TaiwanStation_WanLongWanlong,facility,TaiwanStation_WanLongWanlong_TicketGate_Concourse_1,-1
TaiwanStation_WanLongWanlong,facility,TaiwanStation_WanLongWanlong_TicketGate_Concourse_2,-1
TaiwanStation_GongGuanGongguan,facility,TaiwanStation_GongGuanGongguan_TicketGate_Concourse_1,-1
TaiwanStation_GongGuanGongguan,facility,TaiwanStation_GongGuanGongguan_TicketGate_Concourse_2,-1
TaiwanStation_TaiDianDaLouTaipowerBuilding,facility,TaiwanStation_TaiDianDaLouTaipowerBuilding_TicketGate_Concourse_1,-1
TaiwanStation_TaiDianDaLouTaipowerBuilding,facility,TaiwanStation_TaiDianDaLouTaipowerBuilding_TicketGate_Concourse_2,-1
TaiwanStation_XiaoNanMenXiaonanmen,facility,TaiwanStation_XiaoNanMenXiaonanmen_TicketGate_Concourse_1,-1
TaiwanStation_XiaoNanMenXiaonanmen,facility,TaiwanStation_XiaoNanMenXiaonanmen_TicketGate_Concourse_2,-1
TaiwanStation_BeiMenBeimen,facility,TaiwanStation_BeiMenBeimen_TicketGate_B2_1,-2
TaiwanStation_BeiMenBeimen,facility,TaiwanStation_BeiMenBeimen_TicketGate_B2_2,-2
TaiwanStation_TaiBeiXiaoJuDanTaipeiArena,facility,TaiwanStation_TaiBeiXiaoJuDanTaipeiArena_TicketGate_Concourse_1,-1
TaiwanStation_TaiBeiXiaoJuDanTaipeiArena,facility,TaiwanStation_TaiBeiXiaoJuDanTaipeiArena_TicketGate_Concourse_2,-1
TaiwanStation_NanJingSanMinNanjingSanmin,facility,TaiwanStation_NanJingSanMinNanjingSanmin_TicketGate_Concourse_1,-1
TaiwanStation_NanJingSanMinNanjingSanmin,facility,TaiwanStation_NanJingSanMinNanjingSanmin_TicketGate_Concourse_2,-1
TaiwanStation_XiaoBiTanXiaobitan,facility,TaiwanStation_XiaoBiTanXiaobitan_TicketGate_Concourse_1,1
TaiwanStation_TaiBeiQiaoTaipeiBridge,facility,TaiwanStation_TaiBeiQiaoTaipeiBridge_TicketGate_Concourse_1,-1
TaiwanStation_DaQiaoTouDaqiaotou,facility,TaiwanStation_DaQiaoTouDaqiaotou_TicketGate_B2_1,-2
TaiwanStation_DaQiaoTouDaqiaotou,facility,TaiwanStation_DaQiaoTouDaqiaotou_TicketGate_B2_2,-2
TaiwanStation_SanZhongGuoXiaoSanchongElementarySchool,facility,TaiwanStation_SanZhongGuoXiaoSanchongElementarySchool_TicketGate_Concourse_1,-1
TaiwanStation_SanHeGuoZhongSanheJuniorHighSchool,facility,TaiwanStation_SanHeGuoZhongSanheJuniorHighSchool_TicketGate_Concourse_1,-1
TaiwanStation_XuHuiZhongXueStlgnatiusHighSchool,facility,TaiwanStation_XuHuiZhongXueStlgnatiusHighSchool_TicketGate_Concourse_1,-1
TaiwanStation_XuHuiZhongXueStlgnatiusHighSchool,facility,TaiwanStation_XuHuiZhongXueStlgnatiusHighSchool_TicketGate_Concourse_2,-1
TaiwanStation_SanMinGaoZhongSanminSeniorHighSchool,facility,TaiwanStation_SanMinGaoZhongSanminSeniorHighSchool_TicketGate_Concourse_1,-1
TaiwanStation_LuZhouLuzhou,facility,TaiwanStation_LuZhouLuzhou_TicketGate_Concourse_1,-1
TaiwanStation_CaiLiaoCailiao,facility,TaiwanStation_CaiLiaoCailiao_TicketGate_Concourse_1,-1
TaiwanStation_CaiLiaoCailiao,facility,TaiwanStation_CaiLiaoCailiao_TicketGate_Concourse_2,-1
TaiwanStation_SanZhongSanchong,facility,TaiwanStation_SanZhongSanchong_TicketGate_Concourse_1,-1
TaiwanStation_SanZhongSanchong,facility,TaiwanStation_SanZhongSanchong_TicketGate_Concourse_2,-1
TaiwanStation_XianSeGongXianseTemple,facility,TaiwanStation_XianSeGongXianseTemple_TicketGate_Concourse_1,-1
TaiwanStation_XinZhuangXinzhuang,facility,TaiwanStation_XinZhuangXinzhuang_TicketGate_Concourse_1,-1
TaiwanStation_FuDaFuJenUniversity,facility,TaiwanStation_FuDaFuJenUniversity_TicketGate_Concourse_1,-1
TaiwanStation_FuDaFuJenUniversity,facility,TaiwanStation_FuDaFuJenUniversity_TicketGate_Concourse_2,-1
TaiwanStation_DanFengDanfeng,facility,TaiwanStation_DanFengDanfeng_TicketGate_Concourse_1,-1
TaiwanStation_HuiLongHuilong,facility,TaiwanStation_HuiLongHuilong_TicketGate_Concourse_1,-1
TaiwanStation_HuiLongHuilong,facility,TaiwanStation_HuiLongHuilong_TicketGate_Concourse_2,-1
TaiwanStation_ZhongShanGuoXiaoZhongshanElementarySchool,facility,TaiwanStation_ZhongShanGuoXiaoZhongshanElementarySchool_TicketGate_Concourse_1,-1
TaiwanStation_ZhongShanGuoXiaoZhongshanElementarySchool,facility,TaiwanStation_ZhongShanGuoXiaoZhongshanElementarySchool_TicketGate_Concourse_2,-1
TaiwanStation_XingTianGongXingtianTemple,facility,TaiwanStation_XingTianGongXingtianTemple_TicketGate_Concourse_1,-1
TaiwanStation_XingTianGongXingtianTemple,facility,TaiwanStation_XingTianGongXingtianTemple_TicketGate_Concourse_2,-1
TaiwanStation_DingXiDingxi,facility,TaiwanStation_DingXiDingxi_TicketGate_Concourse_1,-1
TaiwanStation_DingXiDingxi,facility,TaiwanStation_DingXiDingxi_TicketGate_Concourse_2,-1
TaiwanStation_YongAnShiChangYonganMarket,facility,TaiwanStation_YongAnShiChangYonganMarket_TicketGate_Concourse_1,-1
TaiwanStation_NanShiJiaoNanshijiao,facility,TaiwanStation_NanShiJiaoNanshijiao_TicketGate_Concourse_1,-1
TaiwanStation_NanShiJiaoNanshijiao,facility,TaiwanStation_NanShiJiaoNanshijiao_TicketGate_Concourse_2,-1
TaiwanStation_YongChunYongchun,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_1,-1
TaiwanStation_YongChunYongchun,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_2,-1
TaiwanStation_HouShanPiHoushanpi,facility,TaiwanStation_HouShanPiHoushanpi_TicketGate_Concourse_1,-1
TaiwanStation_HouShanPiHoushanpi,facility,TaiwanStation_HouShanPiHoushanpi_TicketGate_Concourse_2,-1
TaiwanStation_DingBuDingpu,facility,TaiwanStation_DingBuDingpu_TicketGate_Concourse_1,-1
TaiwanStation_DingBuDingpu,facility,TaiwanStation_DingBuDingpu_TicketGate_Concourse_2,-1
TaiwanStation_YongZhuYongning,facility,TaiwanStation_YongZhuYongning_TicketGate_Concourse_1,-1
TaiwanStation_YongZhuYongning,facility,TaiwanStation_YongZhuYongning_TicketGate_Concourse_2,-1
TaiwanStation_TuChengTucheng,facility,TaiwanStation_TuChengTucheng_TicketGate_Concourse_1,-1
TaiwanStation_FuZhongFuzhong,facility,TaiwanStation_FuZhongFuzhong_TicketGate_Concourse_1,-1
TaiwanStation_XinBuXinpu,facility,TaiwanStation_XinBuXinpu_TicketGate_Concourse_1,-1
TaiwanStation_XinBuXinpu,facility,TaiwanStation_XinBuXinpu_TicketGate_Concourse_2,-1
TaiwanStation_JiangZiCuiJiangzicui,facility,TaiwanStation_JiangZiCuiJiangzicui_TicketGate_Concourse_1,-1
TaiwanStation_JiangZiCuiJiangzicui,facility,TaiwanStation_JiangZiCuiJiangzicui_TicketGate_Concourse_2,-1
TaiwanStation_LongShanSiLongshanTemple,facility,TaiwanStation_LongShanSiLongshanTemple_TicketGate_Concourse_1,-1
TaiwanStation_LongShanSiLongshanTemple,facility,TaiwanStation_LongShanSiLongshanTemple_TicketGate_Concourse_2,-1
TaiwanStation_ShanDaoSiShandaoTemple,facility,TaiwanStation_ShanDaoSiShandaoTemple_TicketGate_Concourse_1,-1
TaiwanStation_ShanDaoSiShandaoTemple,facility,TaiwanStation_ShanDaoSiShandaoTemple_TicketGate_Concourse_2,-1
TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua,facility,TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua_TicketGate_Concourse_1,-1
TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua,facility,TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua_TicketGate_Concourse_2,-1
TaiwanStation_GuoFuJiNianGuanSunYatsenMemorialHall,facility,TaiwanStation_GuoFuJiNianGuanSunYatsenMemorialHall_TicketGate_Concourse_1,-1
TaiwanStation_GuoFuJiNianGuanSunYatsenMemorialHall,facility,TaiwanStation_GuoFuJiNianGuanSunYatsenMemorialHall_TicketGate_Concourse_2,-1
TaiwanStation_KunYangKunyang,facility,TaiwanStation_KunYangKunyang_TicketGate_Concourse_1,0
TaiwanStation_KunYangKunyang,facility,TaiwanStation_KunYangKunyang_TicketGate_Concourse_2,0
TaiwanStation_ShiZhengFuTaipeiCityHall,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_1,-1
TaiwanStation_ShiZhengFuTaipeiCityHall,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_2,-1
TaiwanStation_HaiShanHaishan,facility,TaiwanStation_HaiShanHaishan_TicketGate_Concourse_1,-1
TaiwanStation_YaDongYiYuanFarEasternHospital,facility,TaiwanStation_YaDongYiYuanFarEasternHospital_TicketGate_Concourse_1,-1
TaiwanStation_JingPingJingping,facility,TaiwanStation_JingPingJingping_TicketGate_4F_1,3
TaiwanStation_XiuLangQiaoXiulangBridge,facility,TaiwanStation_XiuLangQiaoXiulangBridge_TicketGate_2F_1,1
TaiwanStation_ShiSiZhangShisizhang,facility,TaiwanStation_ShiSiZhangShisizhang_TicketGate_2F_1,1
TaiwanStation_ZhongHeZhonghe,facility,TaiwanStation_ZhongHeZhonghe_TicketGate_1F_1,0
TaiwanStation_QiaoHeQiaohe,facility,TaiwanStation_QiaoHeQiaohe_TicketGate_3F_1,2
TaiwanStation_ZhongYuanZhongyuan,facility,TaiwanStation_ZhongYuanZhongyuan_TicketGate_3F_1,2
TaiwanStation_XinBuMinShengXinpuMinsheng,facility,TaiwanStation_XinBuMinShengXinpuMinsheng_3F_1,2
TaiwanStation_XingFuXingfu,facility,TaiwanStation_XingFuXingfu_3F_1,2
TaiwanStation_XinBeiChanYeYuanQuNewTaipeiIndustrialPark,facility,TaiwanStation_XinBeiChanYeYuanQuNewTaipeiIndustrialPark_TicketGate_5F_1,4
TaiwanStation_BanXinBanxin,facility,TaiwanStation_BanXinBanxin_3F_1,2
TaiwanStation_TaiBeiQiaoTaipeiBridge,facility,TaiwanStation_TaiBeiQiaoTaipeiBridge_TicketGate_Concourse_1,-1
TaiwanStation_DaQiaoTouDaqiaotou,facility,TaiwanStation_DaQiaoTouDaqiaotou_TicketGate_B2_1,-2
TaiwanStation_DaQiaoTouDaqiaotou,facility,TaiwanStation_DaQiaoTouDaqiaotou_TicketGate_B2_2,-2
TaiwanStation_SanZhongGuoXiaoSanchongElementarySchool,facility,TaiwanStation_SanZhongGuoXiaoSanchongElementarySchool_TicketGate_Concourse_1,-1
TaiwanStation_FuXingGangFuxinggang,facility,TaiwanStation_FuXingGangFuxinggang_TicketGate_Concourse_1,0
TaiwanStation_FuXingGangFuxinggang,facility,TaiwanStation_FuXingGangFuxinggang_TicketGate_Overpass_2,1
TaiwanStation_ZhongYiZhongyi,facility,TaiwanStation_ZhongYiZhongyi_TicketGate_Concourse_1,0
TaiwanStation_ZhongYiZhongyi,facility,TaiwanStation_ZhongYiZhongyi_TicketGate_Concourse_2,0
TaiwanStation_GuanDuGuandu,facility,TaiwanStation_GuanDuGuandu_TicketGate_Concourse_1,0
TaiwanStation_GuanDuGuandu,facility,TaiwanStation_GuanDuGuandu_TicketGate_Concourse_2,0
TaiwanStation_XinYiAnHeXinyiAnhe,facility,TaiwanStation_XinYiAnHeXinyiAnhe_TicketGate_Concourse_1,-1
TaiwanStation_XinYiAnHeXinyiAnhe,facility,TaiwanStation_XinYiAnHeXinyiAnhe_TicketGate_Concourse_2,-1
TaiwanStation_TaiBei101ShiMaoTaipei101WorldTradeCenter,facility,TaiwanStation_TaiBei101ShiMaoTaipei101WorldTradeCenter_TicketGate_Concourse_1,-1
TaiwanStation_TaiBei101ShiMaoTaipei101WorldTradeCenter,facility,TaiwanStation_TaiBei101ShiMaoTaipei101WorldTradeCenter_TicketGate_Concourse_2,-1
TaiwanStation_XiangShanXiangshan,facility,TaiwanStation_XiangShanXiangshan_TicketGate_Concourse_1,-1
TaiwanStation_XiangShanXiangshan,facility,TaiwanStation_XiangShanXiangshan_TicketGate_Concourse_2,-1
TaiwanStation_JingPingJingping,facility,TaiwanStation_JingPingJingping_TicketGate_4F_1,3
TaiwanStation_XiuLangQiaoXiulangBridge,facility,TaiwanStation_XiuLangQiaoXiulangBridge_TicketGate_2F_1,1
TaiwanStation_ShiSiZhangShisizhang,facility,TaiwanStation_ShiSiZhangShisizhang_TicketGate_2F_1,1
TaiwanStation_ShiZhengFuTaipeiCityHall,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_1,-1
TaiwanStation_ShiZhengFuTaipeiCityHall,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_2,-1
TaiwanStation_YongChunYongchun,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_1,-1
TaiwanStation_YongChunYongchun,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_2,-1
TaiwanStation_HouShanPiHoushanpi,facility,TaiwanStation_HouShanPiHoushanpi_TicketGate_Concourse_1,-1
TaiwanStation_HouShanPiHoushanpi,facility,TaiwanStation_HouShanPiHoushanpi_TicketGate_Concourse_2,-1
TaiwanStation_WanLongWanlong,facility,TaiwanStation_WanLongWanlong_TicketGate_Concourse_1,-1
TaiwanStation_WanLongWanlong,facility,TaiwanStation_WanLongWanlong_TicketGate_Concourse_2,-1
TaiwanStation_GongGuanGongguan,facility,TaiwanStation_GongGuanGongguan_TicketGate_Concourse_1,-1
TaiwanStation_GongGuanGongguan,facility,TaiwanStation_GongGuanGongguan_TicketGate_Concourse_2,-1
TaiwanStation_TaiDianDaLouTaipowerBuilding,facility,TaiwanStation_TaiDianDaLouTaipowerBuilding_TicketGate_Concourse_1,-1
